"job_id","company","role_title","previous_lane","calibrated_lane"
"10514206","Amazon","Principal Product Manager Technical, AWS Applied AI Solutions - Core Services","Apply Now","Apply Now + Bridge"
"10487511","Amazon","Principal Product Manager- Tech , Amazon Customer Service","Apply Now","Apply Now + Bridge"
"10439720","Amazon","Principal Product Manager - Tech, PV Commerce, Prime Video Commerce","Apply Now + Bridge","Apply Now"
"10487601","Amazon","Principal Product Manager - Tech, Featured Merchant Algorithm","Apply Now + Bridge","Apply Now"
"R-575564","Wells Fargo","Senior Lead Product Manager","Apply Now + Bridge","Apply Now"
"3e40be54-5d36-4cbc-88f2-eed63a09f545","Assured","Staff Product Manager","Apply Now + Bridge","Apply Now"
"6630580","Adyen","Group Product Manager, Credit and Data Platform","Build Toward","Skip"
"4694576005","Flex","Principal Product Manager, Payments","Build Toward","Skip"
"4712069006","Couchbase","Principal Product Manager","Build Toward","Skip"
"JB0074880","ServiceNow","Staff Technical Product Manager – AI/LLM expertise + AI Evaluation Science","Apply Now","Apply Now + Bridge"
"R-2538197","Walmart","(USA) Principal, Product Manager","Apply Now + Bridge","Apply Now"
"67be8703-070b-459d-8c5c-191a1478f803","R37 Lab / R1 RCM","Principal Product Manager","Build Toward","Apply Now + Bridge"
"5153924008","Anthropic","Product Manager, Multi-Cloud Growth - Google","Build Toward","Apply Now + Bridge"
