source_position_id,display_job_id,requisition_id,title,primary_location,all_locations,department,profession,discipline,employment_type,posted_date,canonical_url,found_via_category,found_via_title_search,review_status,review_notes,discovery_methods,captured_at
1970393556982694,200052321,200052321,Associate M12,"United States, California, San Francisco","[""United States, California, San Francisco""]",Corporate Ventures,"[""Business Development & Ventures""]","[""Corporate Ventures""]","[""Full-Time""]",2026-08-28T16:57:58+00:00,https://apply.careers.microsoft.com/careers/job/1970393556982694,False,True,REVIEW,Source candidate; no PM classification. Outside Microsoft PM taxonomy; verify relevance. ,"[""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556957895,200047361,200047361,Business Analyst II,"India, Karnataka, Bangalore","[""India, Karnataka, Bangalore""]",Business Analytics,"[""Analytics""]","[""Business Analytics""]","[""Full-Time""]",2026-09-16T05:14:30+00:00,https://apply.careers.microsoft.com/careers/job/1970393556957895,False,True,REVIEW,Source candidate; no PM classification. Outside Microsoft PM taxonomy; verify relevance. ,"[""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556998549,200055740,200055740,Data Analytics Specialist,"India, Karnataka, Bangalore","[""India, Karnataka, Bangalore""]",Data Analytics,"[""Analytics""]","[""Data Analytics""]","[""Full-Time""]",2026-09-18T11:24:12+00:00,https://apply.careers.microsoft.com/careers/job/1970393556998549,False,True,REVIEW,Source candidate; no PM classification. Outside Microsoft PM taxonomy; verify relevance. ,"[""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556980029,200050769,200050769,Deal Desk Director,"United States, Washington, Redmond","[""United States, Washington, Redmond"", ""United States, Georgia, Atlanta"", ""United States, New York, New York"", ""United States, Virginia, Reston"", ""United States, Massachusetts, Boston""]",Commercial Deal Making,"[""Sales""]","[""Commercial Deal Making""]","[""Full-Time""]",2026-08-28T21:49:58+00:00,https://apply.careers.microsoft.com/careers/job/1970393556980029,False,True,REVIEW,Source candidate; no PM classification. Outside Microsoft PM taxonomy; verify relevance. ,"[""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556990494,200054073,200054073,"Defense and Intelligence Industry Advisory, United Kingdom","United Kingdom, Multiple Locations, Multiple Locations","[""United Kingdom, Multiple Locations, Multiple Locations""]",Industry Advisory,"[""Sales""]","[""Industry Advisory""]","[""Full-Time""]",2026-09-22T08:34:05+00:00,https://apply.careers.microsoft.com/careers/job/1970393556990494,False,True,REVIEW,Source candidate; no PM classification. Outside Microsoft PM taxonomy; verify relevance. ,"[""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556999289,200055951,200055951,Director - AI Capacity Business Development,"United States, Washington, Redmond","[""United States, Washington, Redmond"", ""United States, California, Mountain View""]",Business Development,"[""Business Development & Ventures""]","[""Business Development""]","[""Full-Time""]",2026-09-21T13:13:41+00:00,https://apply.careers.microsoft.com/careers/job/1970393556999289,False,True,REVIEW,Source candidate; no PM classification. Outside Microsoft PM taxonomy; verify relevance. ,"[""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556944704,200045432,200045432,"Director, Business Development","United States, California, Mountain View","[""United States, California, Mountain View"", ""United States, California, San Francisco""]",Business Development,"[""Business Development & Ventures""]","[""Business Development""]","[""Full-Time""]",2026-07-29T17:42:27+00:00,https://apply.careers.microsoft.com/careers/job/1970393556944704,False,True,REVIEW,Source candidate; no PM classification. Outside Microsoft PM taxonomy; verify relevance. ,"[""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556978213,200050102,200050102,"Director, Windows Category Manager","United States, Multiple Locations, Multiple Locations","[""United States, Multiple Locations, Multiple Locations""]",Category Management,"[""Marketing""]","[""Category Management""]","[""Full-Time""]",2026-09-18T01:44:42+00:00,https://apply.careers.microsoft.com/careers/job/1970393556978213,False,True,REVIEW,Source candidate; no PM classification. Outside Microsoft PM taxonomy; verify relevance. ,"[""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556991952,200054512,200054512,EMEA Site Merchandising Lead,"United Kingdom, London, London","[""United Kingdom, London, London"", ""Ireland, Dublin, Dublin""]",eCommerce,"[""Marketing""]","[""eCommerce""]","[""Full-Time""]",2026-09-17T11:02:55+00:00,https://apply.careers.microsoft.com/careers/job/1970393556991952,False,True,REVIEW,Source candidate; no PM classification. Outside Microsoft PM taxonomy; verify relevance. ,"[""title_search: Product Manager""]",2026-09-22T11:10:48.738604+00:00
1970393556982137,200052012,200052012,"Frontier Industry Advisor, Manufacturing & Mobility -  Sydney","Australia, New South Wales, Sydney","[""Australia, New South Wales, Sydney"", ""Australia, Victoria, Melbourne""]",Industry Advisory,"[""Sales""]","[""Industry Advisory""]","[""Full-Time""]",2026-09-15T14:00:00+00:00,https://apply.careers.microsoft.com/careers/job/1970393556982137,False,True,REVIEW,Source candidate; no PM classification. Outside Microsoft PM taxonomy; verify relevance. ,"[""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556982018,200051913,200051913,Frontier Industry Advisor- Health & Life Science,"United States, Multiple Locations, Multiple Locations","[""United States, Multiple Locations, Multiple Locations""]",Industry Advisory,"[""Sales""]","[""Industry Advisory""]","[""Full-Time""]",2026-09-16T20:28:18+00:00,https://apply.careers.microsoft.com/careers/job/1970393556982018,False,True,REVIEW,Source candidate; no PM classification. Outside Microsoft PM taxonomy; verify relevance. ,"[""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556972661,200049736,200049736,Frontier Offers Architect,"Singapore, Singapore, Singapore","[""Singapore, Singapore, Singapore""]",Solution Architecture,"[""Consulting Services""]","[""Solution Architecture""]","[""Full-Time""]",2026-09-07T13:37:43+00:00,https://apply.careers.microsoft.com/careers/job/1970393556972661,False,True,REVIEW,Source candidate; no PM classification. Outside Microsoft PM taxonomy; verify relevance. ,"[""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556953320,200046402,200046402,"Industry Architect, Material Sciences and Manufacturing","Singapore, Singapore, Singapore","[""Singapore, Singapore, Singapore""]",Solution Architecture,"[""Consulting Services""]","[""Solution Architecture""]","[""Full-Time""]",2026-09-22T04:01:02+00:00,https://apply.careers.microsoft.com/careers/job/1970393556953320,False,True,REVIEW,Source candidate; no PM classification. Outside Microsoft PM taxonomy; verify relevance. ,"[""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556999267,200055932,200055932,Investment Governance Lead - Windows Consumer Category,"United States, Washington, Redmond","[""United States, Washington, Redmond"", ""United States, California, San Francisco"", ""United States, California, Los Angeles""]",Category Management,"[""Marketing""]","[""Category Management""]","[""Full-Time""]",2026-09-17T17:15:23+00:00,https://apply.careers.microsoft.com/careers/job/1970393556999267,False,True,REVIEW,Source candidate; no PM classification. Outside Microsoft PM taxonomy; verify relevance. ,"[""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556942198,200044909,200044909,"Principal Applied Science Manager - Foundation Models, Agents & Trust Systems","India, Karnataka, Bangalore","[""India, Karnataka, Bangalore""]",Applied Sciences,"[""Research, Applied, & Data Sciences""]","[""Applied Sciences""]","[""Full-Time""]",2026-07-27T04:19:53+00:00,https://apply.careers.microsoft.com/careers/job/1970393556942198,False,True,REVIEW,Source candidate; no PM classification. Outside Microsoft PM taxonomy; verify relevance. ,"[""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
